acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,target
0.0138,0.701,228865,0.615,0.000416,8,0.08,-7.598,1,0.1,128.047,0.325,1
0.151,0.84,175118,0.717,0,8,0.227,-5.491,0,0.0888,122.029,0.774,1
0.0318,0.714,192853,0.423,0,8,0.164,-13.596,1,0.18,150.199,0.378,1
0.239,0.526,154839,0.675,0,1,0.117,-6.585,1,0.0463,155.005,0.136,1
0.00603,0.676,252062,0.67,0.00781,5,0.168,-4.596,0,0.032,124.983,0.225,1
0.549,0.887,212459,0.492,0.49,5,0.0608,-9.752,0,0.0611,121.982,0.174,1
0.00861,0.59,166857,0.792,0,4,0.073,-5.868,1,0.0394,105.051,0.208,1
0.221,0.728,203694,0.863,0,7,0.129,-7.577,1,0.296,148.026,0.581,1
0.0728,0.42,243213,0.615,7.77E-06,4,0.242,-4.694,0,0.065,161.953,0.131,1
0.306,0.71,261853,0.5,0,3,0.248,-7.228,0,0.0417,97.071,0.616,1
0.493,0.557,209058,0.468,0.0415,4,0.104,-11.049,0,0.0463,147.848,0.237,1
0.605,0.526,255000,0.659,0,0,0.134,-4.14,0,0.0558,79.907,0.586,1
0.632,0.849,179444,0.592,2.39E-06,6,0.108,-4.309,0,0.102,89.966,0.652,1
0.162,0.619,235102,0.925,0,7,0.255,-6.215,0,0.103,175.117,0.738,1
0.00417,0.675,215692,0.627,0,2,0.101,-5.403,0,0.0396,139.021,0.444,1
0.000551,0.295,280152,0.679,5.44E-05,1,0.165,-6.182,1,0.15,197.964,0.381,1
0.109,0.616,190820,0.77,0,11,0.113,-5.293,1,0.0805,121.982,0.353,1
0.0444,0.749,415665,0.573,0.0497,9,0.0328,-6.778,0,0.0363,125.013,0.382,1
0.209,0.573,199000,0.645,0.00184,5,0.146,-7.692,0,0.0995,179.871,0.222,1
0.00827,0.741,166440,0.86,0.58,6,0.283,-4.809,0,0.109,125.943,0.52,1
0.00408,0.72,221775,0.781,0.807,10,0.308,-2.647,0,0.0609,125.005,0.307,1
0.0639,0.796,291840,0.526,0.85,9,0.0631,-8.086,0,0.0535,121.999,0.595,1
0.0368,0.702,278715,0.801,0.00581,2,0.178,-6.97,0,0.0368,124.004,0.184,1
0.128,0.633,247869,0.71,0.785,6,0.0893,-9.93,0,0.0347,121.993,0.599,1
0.111,0.497,269268,0.489,0.00167,4,0.0912,-7.849,0,0.0413,163.814,0.0348,1
0.0324,0.767,171692,0.593,4.50E-06,4,0.0878,-5.901,1,0.0413,130.007,0.579,1
0.652,0.748,151425,0.632,0.000826,6,0.0887,-7.9,0,0.0392,100.04,0.417,1
0.58,0.612,202855,0.436,0,2,0.108,-7.202,0,0.0625,149.909,0.445,1
0.37,0.693,246360,0.553,0.000248,7,0.148,-6.868,1,0.0375,124.117,0.153,1
0.379,0.404,185375,0.292,0,2,0.0905,-13.044,0,0.0447,142.498,0.194,1
0.0027,0.677,196827,0.655,0.276,7,0.162,-5.541,1,0.0433,100.119,0.146,1
0.298,0.648,245000,0.651,0.0262,1,0.252,-8.92,1,0.0995,107.989,0.232,1
0.0144,0.693,240000,0.613,4.69E-06,10,0.113,-6.176,0,0.177,139.977,0.561,1
0.502,0.744,161566,0.428,0.236,6,0.123,-13.857,0,0.0701,120.027,0.231,1
0.213,0.814,188834,0.499,3.07E-05,5,0.217,-8.379,0,0.0424,100.012,0.669,1
0.0705,0.704,240133,0.974,0,10,0.451,-3.61,0,0.146,129.772,0.742,1
0.032,0.519,163500,0.734,0.000662,10,0.379,-4.72,0,0.108,158.81,0.429,1
0.11,0.709,295307,0.934,0,10,0.269,-3.512,0,0.133,130.083,0.734,1
0.0993,0.785,270000,0.826,0,8,0.117,-4.712,0,0.317,97.975,0.53,1
0.156,0.644,210525,0.842,0.0206,11,0.367,-6.357,0,0.0971,157.951,0.261,1
0.0109,0.759,138985,0.594,0,8,0.163,-5.191,0,0.168,140.009,0.263,1
0.207,0.875,129682,0.831,0.000147,11,0.0793,-5.072,0,0.28,76.006,0.961,1
0.0407,0.912,140069,0.526,7.42E-05,5,0.1,-5.527,1,0.0671,120.023,0.586,1
0.593,0.384,221530,0.48,0.146,11,0.114,-9.827,0,0.0366,139.592,0.104,1
0.0598,0.588,169144,0.58,0.822,7,0.104,-10.019,1,0.0527,148.899,0.0463,1
0.736,0.282,195280,0.481,0,6,0.118,-7.95,0,0.031,81.946,0.23,1
0.00931,0.511,154074,0.437,0,7,0.174,-8.407,1,0.296,161.181,0.315,1
0.0319,0.77,248517,0.878,2.04E-06,7,0.109,-2.209,1,0.106,132.102,0.215,1
0.0327,0.811,148800,0.941,0.808,9,0.868,-2.947,1,0.144,150.053,0.41,1
0.0647,0.524,193600,0.717,1.23E-06,11,0.12,-6.612,0,0.0701,149.953,0.416,1
0.0784,0.473,160552,0.661,1.77E-05,8,0.0657,-5.322,0,0.0437,144.803,0.31,1
0.0697,0.652,128960,0.912,0,1,0.296,-2.464,1,0.0879,103.005,0.279,1
