Year,Month,ArtistScore,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,target
2010,1,0,0.771,0.597,8,-8.696,1,0.0347,0.284,7.09E-05,0.0548,0.875,119.972,1
2008,9,1,0.683,0.664,5,-4.233,0,0.0332,0.538,0,0.0671,0.866,106.991,1
2003,1,0,0.694,0.778,4,-1.492,1,0.395,0.167,0,0.065,0.518,95.475,1
2007,1,0,0.158,0.135,11,-32.174,0,0.0746,0.752,0.929,0.101,0.0216,180.067,0
2005,1,0,0.46,0.638,6,-3.71,0,0.0304,0.143,0,0.112,0.0995,125.034,0
1998,1,0,0.719,0.413,0,-6.082,0,0.0546,0.0244,4.74E-06,0.0556,0.356,136.027,1
2007,7,0,0.574,0.688,5,-8.41,0,0.0378,0.13,0,0.0699,0.793,87.823,0
1998,3,0,0.631,0.793,8,-7.551,0,0.251,0.212,0,0.0441,0.826,175.814,1
1993,10,1,0.701,0.469,3,-9.63,1,0.0305,0.534,0.00105,0.121,0.384,94.699,0
2005,1,1,0.688,0.367,7,-8.89,0,0.0611,0.723,7.78E-06,0.114,0.371,131.883,0
2002,6,1,0.404,0.364,3,-11.249,1,0.0331,0.392,0,0.123,0.21,139.493,1
2009,1,0,0.344,0.712,5,-5.834,1,0.0398,0.00748,5.04E-05,0.242,0.534,178.031,0
2001,1,0,0.119,0.00888,8,-26.802,1,0.044,0.962,0.0134,0.223,0.0397,61.924,0
2008,1,0,0.842,0.625,7,-3.625,1,0.0487,0.0107,0,0.0772,0.513,116.982,0
2009,1,0,0.763,0.259,10,-18.913,1,0.0425,0.623,0.256,0.196,0.181,119.978,0
1994,6,0,0.716,0.372,0,-13.4,1,0.0356,0.626,0.733,0.113,0.348,126.135,0
1998,8,0,0.588,0.522,9,-6.254,0,0.0383,0.233,0,0.24,0.584,66.024,1
2000,10,1,0.324,0.574,7,-5.647,1,0.0292,0.239,0,0.143,0.335,74.101,1
2010,2,0,0.479,0.0493,5,-39.716,1,0.742,0.764,5.08E-06,0.17,0.602,112.969,0
2001,9,1,0.622,0.392,1,-9.737,1,0.0253,0.498,0,0.146,0.274,77.991,1
2012,9,0,0.643,0.981,7,-6.644,0,0.0439,0.0271,8.93E-05,0.11,0.38,140.01,1
2001,9,0,0.587,0.629,7,-7.439,1,0.0424,0.183,0,0.0686,0.425,114.993,1
2006,1,0,0.479,0.272,0,-12.446,1,0.032,0.627,3.51E-06,0.136,0.341,132.545,0
2008,1,0,0.665,0.936,7,-2.97,1,0.0544,0.0146,0,0.125,0.848,122.003,1
2005,1,0,0.826,0.889,1,-5.076,0,0.12,0.0489,0,0.237,0.734,104.008,0
2010,4,0,0.729,0.876,6,-3.818,0,0.0679,0.11,0.000715,0.301,0.674,92.993,0
1991,9,0,0.506,0.346,10,-11.902,1,0.0386,0.389,0.000107,0.0515,0.628,133.453,0
1991,11,0,0.654,0.749,11,-9.221,0,0.0537,0.0746,0,0.114,0.663,93.847,1
2008,2,0,0.225,0.926,5,-5.382,0,0.136,3.30E-05,0.00162,0.109,0.411,149.833,0
2007,8,0,0.835,0.769,10,-7.499,1,0.0587,0.0176,0.0358,0.357,0.821,128.004,0
1991,9,0,0.474,0.983,4,-7.251,1,0.0889,0.00763,0.000758,0.0475,0.435,118.182,0
2009,6,0,0.284,0.748,11,-6.673,1,0.0726,0.00838,0.00116,0.378,0.215,113.95,0
1996,4,0,0.584,0.918,4,-5.554,0,0.395,0.255,0,0.105,0.966,164.037,0
2009,4,0,0.72,0.535,0,-9.771,1,0.23,0.576,0.0291,0.247,0.749,134.338,0
2001,3,0,0.736,0.692,8,-3.815,1,0.0423,0.0778,0.000784,0.0489,0.718,96.104,0
1996,9,0,0.308,0.739,9,-6.17,1,0.0459,0.0487,0.834,0.106,0.365,150.034,0
2007,1,1,0.684,0.85,4,-3.867,0,0.034,0.0173,0,0.0913,0.922,94.003,1
2006,11,0,0.423,0.922,3,-2.602,1,0.0411,0.017,0,0.102,0.567,156.063,1
2010,10,1,0.62,0.832,10,-4.848,1,0.036,0.332,0,0.104,0.481,144.926,1
2010,6,1,0.753,0.975,7,-4.621,1,0.104,0.00223,0.001,0.0229,0.585,122.001,1
2002,11,0,0.649,0.536,5,-8.804,0,0.132,0.492,0,0.184,0.513,78.935,1
2006,1,0,0.589,0.481,0,-6.833,1,0.0302,0.16,0.443,0.176,0.15,159.801,0
2009,2,0,0.349,0.523,11,-7.749,0,0.0382,0.362,0.000598,0.386,0.311,169.283,0
2016,4,0,0.143,0.0332,9,-27.907,0,0.044,0.96,0.429,0.111,0.203,82.282,0
2002,6,0,0.322,0.959,5,-4.951,1,0.117,0.000309,0.00304,0.0912,0.435,154.289,0
